Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,Director,Hero,Heroine
Style,2006,U,Musical            ,"    The story goes all around the dance. Prabhu Deva/Ganesh is a good dancer. He beats Anthony in one dance competition.But then, Anthony gets Ganesh beaten up, and Ganesh loses his legs in a ...                See full summaryÂ Â»",160,6,342,Raghava Lawrence, Raghava Lawrence,Charmy Kaur
Shivamani,2003,U,"Action, Romance            ",    An ex cop goes in search of his lost girlfriend to Kerala and along way meets a news reporter who helps him to find his lover.,143,6.3,341,Puri Jagannadh,Akkineni Nagarjuna, Asin
Surya vs. Surya,2015,NA,Drama            ,"    The film story revolves around a young man Surya (Nikhil Siddharth) who suffers with a heriditary disorder Porphyria, that prevents him from going outside during the day and enjoying the ...                See full summaryÂ Â»",0,6.8,339,Karthik Ghattamaneni,Nikhil Siddharth, Tridha Choudhury
Swathi Kiranam,1992,U,"Drama, Musical            ","    The story of a classical singer, who finds it difficult to cope with the rising popularity of a child-prodigy.",130,8.1,337,K. Viswanath,Mammootty, Radha
Alluda Majaaka!,1995,NA,"Action, Comedy, Drama            ","    Village bullies attempt to acquire lucrative land and engineer advantageous marital alliances, while the protagonists fight for love and honor.",161,6.3,337,E.V.V. Satyanarayana,Chiranjeevi, Ramya Krishnan
Kavacham,2018,UA,"Action, Thriller            ",    A police officer from Vizag finds himself in a rut when false allegations are levied against him. He has 24 hours now to prove his innocence.,141,5.5,335,Sreenivas Mamilla,Bellamkonda Sreenivas, Kajal Aggarwal
Chinnadana Nee Kosam,2014,NA,"Drama, Romance            ","    A typical man with a good heart finds love after sighting a beautiful woman. Upon her request to get her a home by asking an old man (an old man that saw the hero saving a woman), he makes ...                See full summaryÂ Â»",155,5.3,334,A. Karunakaran,Nithiin, Mishti
Hrudaya Kaleyam,2014,U,Comedy            ,    A comedy about a petty electronics thief.,114,5.7,334,Steven Shankar,Sampoornesh Babu, Ishika Singh
Mama Manchu Alludu Kanchu,2015,UA,"Action, Comedy            ","    Bhaktavatsalam Naidu (Mohan Babu), who has married two women and has successfully managed to keep the secret of the other woman to both the ladies..Later part reveal why Naidu married two of them and also his wives knowing the truth.",136,6.1,331,Srinivas Reddy,Mohan Babu, Ramya Krishnan
Prathinidhi,2014,NA,"Drama, Thriller            ","    A mysterious figure, who calls himself as 'The Common Man', kidnaps the Chief Minister of the state and threatens to murder him unless his demands are met.",150,7.4,331,Prashanth Mandava,Nara Rohit, Shubra Aiyappa
Meesrti,2005,NA,Action            ,nan,90,3.6,331,Puri Jagannadh,Rajendra Prasad, Aamani
Khatarnak,2006,A,"Action, Comedy            ",    Villain makes Ravi Teja a police officer so that he can use him for his own purpose. But when he knows the truth things turn upside down.,152,3.6,331,Amma Rajasekhar,Ravi Teja, Ileana D'Cruz
Ritu,2009,U,"Drama, Family            ","    Sarath, Varsha and Sunny are childhood friends, who get separated due to career requirements. Later, when Sarath tries to unite with other two, he finds that they changed drastically.",137,7.1,330,Shree Karthick,Harish Kumar, Anupama Kumar
Sri Ramadasu,2006,NA,"Biography, Musical            ",    Based on the life story of the great devotee-musician Bhakta Ramadasu,0,7,330,K. Raghavendra Rao,Akkineni Nagarjuna, Sneha
Jawaan,2017,UA,"Action, Thriller            ",    The planned robbery of a missile pits childhood friends against each other.,134,4.7,329,BVS Ravi,Sai Dharam Tej, Mehreen Pirzada
Maalai Nerathu Mayakkam,2016,A,"Drama, Romance            ",    An incompatible couple get into an arranged marriage.,123,6.4,328,Gitanjali Selvaraghavan,Balakrishna, Aamani
Janaki Ramudu,1988,U,"Drama, Romance            ",nan,133,5.5,328,K. Raghavendra Rao,Uday Kiran, Aarti Agarwal
Koduku Diddina Kapuram,1989,U,Drama            ,"    Chakravarthy and Sasirekha gets married. But false allegations on Chakravarthy regarding a murder creates misunderstandings between them. Their sons who are identical twins, decides to reunite their parents.",134,6.6,327,K. Raghavendra Rao,Krishna, Sridevi
Subedar Joginder Singh,2018,UA,"Action, Biography, Drama            ",    It is a biographical feature film on India's Highest Wartime Gallantry Award - Param Vir Chakra winner Subedar Joginder Singh. He fought three wars (as per records) for India before ...                See full summaryÂ Â»,139,7.1,325,Simerjit Singh,Gippy Grewal, Aditi Sharma
Anasuya,2007,A,"Crime, Mystery, Thriller            ",    A spine-chilling suspense thriller about a cat and mouse game between a budding journalist and motivated serial killer.,139,7.3,323,Krishna Vamsi, Abbas,Bhumika Chawla
Postman,1999,NA,Action            ,"    Postman is a 2000 Indian Telugu film, directed by Muppalaneni Shiva and Produced by Mohan Babu. The film stars M Mohan Babu, Soundarya and Raasi in lead roles. The music of the film was ...                See full summaryÂ Â»",145,3.6,321,Velu Prabhakaran,Mohan Babu, Soundarya
Seven,2019,UA,Thriller            ,"    A police officer is bewildered by conflicting statements about Karthik's identity. Several young women seem to share a mysterious connection with him. An old man claims to know Karthik as Krishnamurthy, who died thirty years ago.",117,5.2,320,Nizar Shafi,Ravi Kishan, Regina Cassandra
Jil,2015,A,Action            ,    A firefighter earns the wrath of a don who believes him to be helping his aide gone rogue.,141,5.7,320,Radha Krishna Kumar,Gopichand, Rashi Khanna
Solo,2011,UA,Drama            ,    Gautham is an orphan who has always wanted to marry a girl in a joint family.,152,6.7,320,Parasuram,Nara Rohit, Nanditha Raj
Andarivaadu,2005,NA,"Action, Comedy, Drama            ",    Govindarajulu (Chiranjeevi) is a labor leader who enjoys life in his own entertaining way. His son Siddardh (Chiranjeevi) heads a popular TV channel. Govindarajulu raises his son Siddardh ...                See full summaryÂ Â»,162,4.4,320,Krishna Vamsi,Chiranjeevi, Tabu
Anthahpuram,1998,A,"Action, Drama            ",    Bhanu and her son fall prey to the unknown terror background of her husband's family- faction-ism which ultimately causes his death.,137,7.6,320,Santosh Sivan,Prakash Raj, Soundarya
Samrat Ashok,1992,U,"Action, Drama, History            ",    The life story of emperor Ashoka.,160,6.2,320,K. Viswanath,Nandamuri Balakrishna, Soundarya
Aapathbandavudu,1992,U,"Drama, Musical            ","    Madhava is a servant to Hema's father. Although they love each other, societal norms keep them apart. A horrific tragedy lands Hema in a mental asylum. Madhava enters the asylum to help and save her.",173,7.6,320,K. Raghavendra Rao,Nandamuri Balakrishna, Aamani
Aaha Kalyanam,2014,UA,"Comedy, Romance            ",    Partners of a wedding-planning firm face problems when they fall in love.,142,6,319,Gokul Krishna,Nani, Vaani Kapoor
Allari Pidugu,2005,U,"Action, Drama, Romance            ",    Chakravarthy is a military officer. He has twins called Ranjith and Giri. Ranjit is very responsible kid with bright attitude. Giri is more of an innocent carefree guy. Chakravathy feels ...                See full summaryÂ Â»,171,2.7,319,Jayanth C. Paranjee,Nandamuri Balakrishna, Charmy Kaur
Officer,2018,UA,"Action, Crime            ","    An honest officer fights to bring down a corrupt and dangerous cop, and attempts to bring down the entire Mumbai mafia with him.",122,3.4,318,Ram Gopal Verma,Akkineni Nagarjuna, Myra Sareen
Paisa,2014,NA,"Action, Drama            ",    Prakash is a sherwani model from the old city that believes money is the most important.,138,6.1,318,Krishna Vamsi,Nani, Catherine Tresa
Yaan,2014,U,"Action, Thriller            ",    A young man gets into trouble in a foreign country.,153,3.5,317,Ravi K. Chandran,Jiiva, Thulasi Nair
Alluri Seetharama Raju,1974,U,"Action, Biography, Drama            ",    Biopic on the life of the famous Telugu freedom fighter Alluri Seetarama Raju..,187,7.5,317,V. Ramachandra Rao,Krishna,Vijaya Nirmala
Adavi Donga,1985,U,"Action, Comedy, Family            ",nan,136,6.6,317,K. Raghavendra Rao,Chiranjeevi, Radha
Madhuram,2014,NA,"Drama, Fantasy, Romance            ",    A coffee cup takes us through a journey exploring the seven stages of love.,63,8.3,314,Krishna Vamsi,Vijay, Sonia Agarwal
Vasu,2002,NA,"Drama, Romance            ",    Vasu is a musician and is hated by his father due to his unemployment. He emerges into a famous musician with the inspiration of his girlfriend.,146,6.9,314,A. Karunakaran,Venkatesh, Bhoomika Chawla
Saakshyam,2018,UA,Action            ,    A group of people commit unspeakable crimes and are confident of getting away with it since there are no witnesses. But nature is witness to their crimes and when all five elements of ...                See full summaryÂ Â»,166,4.9,312,Sriwass,Bellamkonda Sreenivas, Pooja Hegde
Shadow,2013,NA,"Action, Crime, Drama            ",    A son seeks to avenge the murder of his father.,160,3.8,312,Meher Ramesh,Venkatesh, Tapsee Pannu
Babu Bangaram,2016,UA,"Action, Comedy            ",    A cop goes undercover to investigate a businesswoman and her father.,150,5.4,311,Sreenivasa Reddy,Venkatesh, Nayanthara
Shivam,2015,UA,"Action, Comedy, Romance            ",    The story of a boy (Ram) who wants to make his love life and marriage a success.,168,5.4,310,M. Muthaiah,Ram, Rashi Khanna
Rayudu,1998,NA,Family            ,"    Rayudu is a 1998 Indian Telugu film, directed by Ravi Raja Pinisetty and Produced by M. Mohan Babu. The film stars Mohan Babu, Soundarya, Rachana, Brahmanandam and Srinivasa Rao Kota in ...                See full summaryÂ Â»",150,4.2,307,Satya,Vishal, Sri Divya
Lion,2015,NA,"Action, Drama            ",    A man wakes up from coma and finds himself in the middle of a conspiracy hatched by the corrupt Chief Minister of the state.,143,3.3,305,K. Chakravarthy,Balakrishna, Trisha Krishnan
Pantham,2018,UA,Action            ,    Vikranth is a vigilante who has targeted 'Nayak Bhai' and his money. Who is Vikranth and what is his beef with Nayak forms the crux of the story.,122,6.4,304,K. Viswanath,Gopichand, Mehreen Pirzada
Govindha Govindha,1993,U,"Action, Crime, Drama            ","    A Tantric believes that by donating a virgin woman's head to gods crown, would bring down the universe to his feet. How the hero and heroine gets entangled in the underworld nexus, while rescuing the robbery, forms the crux of the plot.",145,6.8,304,Gunasekhar,Akkineni Nagarjuna, Sridevi
Nippu,2012,NA,"Action, Comedy, Drama            ",    The story begins with Surya (Ravi Teja) who owns a gym center and he also has a good friend Sriram (Srikanth). Surya is in love with his friend's sister Meghna (Deeksha Seth) and after some...                See full summaryÂ Â»,159,3.8,303,Ravi Raja Pinisetty,Ravi Teja, Deeksha Seth
Pasivadi Pranam,1987,U,"Action, Drama, Thriller            ",    Madhu (Chiranjeevi) is a painter who becomes a drunkard since his wife is killed immediately after their marriage in an accident. He leads a careless life until a kid (Baby Sujitha) who is ...                See full summaryÂ Â»,140,7.7,303,Thirupathisamy,Chiranjeevi, Vijayashanti
