Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,Director,Hero,Heroine
Bahubali: The Beginning,2015,UA,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",159,8.1,99114,S. S. Rajamouli,Prabhas,Anushka Shetty
Baahubali 2: The Conclusion,2017,UA,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",167,8.2,71458,S. S. Rajamouli,Prabhas,Anushka Shetty
1 - Nenokkadine,2014,UA,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,170,8.1,42372,B. Sukumar,Mahesh Babu, Kriti Sanon
Eega,2012,UA,"Action, Fantasy            ",    A murdered man is reincarnated as a housefly and seeks to avenge his death.,145,7.7,20636,S. S. Rajamouli,Nani, Samantha
Arjun Reddy,2017,A,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",182,8.1,19419,Sandeep Reddy Vanga,Vijay Deverakonda, Shalini Pandey
Rangasthalam,2018,UA,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president.",170,8.4,17559,B. Sukumar,Ram Charan, Samantha
Magadheera,2009,A,"Action, Drama, Fantasy            ","    A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever.",166,7.6,17542,S. S. Rajamouli,Ram Charan, Kajal Aggarwal
Bharat Ane Nenu,2018,UA,"Action, Drama            ","    Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",173,7.7,14945,Koratala Shiva,Mahesh Babu, Kiara Advani
Saaho,2019,UA,"Action, Thriller            ","    An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.",170,5.2,14430,Sujith,Prabhas, Shraddha Kapoor
Dookudu,2011,UA,"Action, Comedy            ","    Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle.",170,7.4,12295,Sreenu Vaitla,Mahesh Babu, Samantha
Pokiri,2006,A,"Action, Thriller            ","    A local goon's killer instincts earn him his girlfriend's disapproval, a corrupt cop's enmity and a wanted don's attention.",164,7.9,12137,Puri Jagannadh,Mahesh Babu, Ileana D'Cruz
Athadu,2005,U,"Action, Thriller            ","    A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",172,8.2,11459,Trivikram,Mahesh Babu, Trisha Krishnan
The Ghazi Attack,2017,UA,"Action, Thriller, War            ","    A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",116,7.6,11191,Sankalp Reddy,Rana Daggubati, Taapsee Pannu
Srimanthudu,2015,UA,"Action, Drama            ","    Harsha, a multi-millionaire who has everything, still feels that there is something missing in his life. In an attempt to fill the void, he adopts a village to bring change in the people.",158,7.5,10778,Koratala Shiva,Mahesh Babu, Shruti Haasan
Manam,2014,UA,"Comedy, Drama, Fantasy            ","    Through reincarnation, family members are able to cross generations and meddle in each others' lives.",163,8,9589,Vikram Kumar,Nagarjuna, Naga Chaitanya
Business Man,2012,A,"Action, Crime            ",    Surya arrives in Mumbai to revive the mafia and ends up making enemies who threaten his life.,133,7.1,9265,Puri Jagannadh,Mahesh Babu, Kajal Aggarwal
Geetha Govindam,2018,UA,"Drama, Romance            ",    An innocent young lecturer is misunderstood as a pervert and despised by a woman who co-incidentally turns out to be the younger sister of his brother-in-law. Eventually differences subside and love blooms between them.,142,7.7,8846,Parushuram,Vijay Devarakonda, Rashmika Mandanna
Mahanati,2018,U,"Biography, Drama            ","    Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",177,8.5,8732,Nag Ashwin,Dulquer Salman, Keethi Suresh
Spyder,2017,UA,"Action, Thriller            ",    An intelligence officer attempts to save the city from a psychotic serial killer who kills people just to hear their loved ones cry.,155,6.6,8666,A. R Murugadoss,Mahesh Babu, Rakul Preet Singh
Nannaku Prematho,2016,UA,"Action, Drama, Thriller            ",    An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,168,7.6,8589,B. Sukumar,Jr. NTR, Rakul Preet Singh
Race Gurram,2014,UA,"Action, Comedy            ","    Two brothers have two different approaches to life. While one brother follows rules and regulations, the other does things his own way.",163,7.2,8183,Surender Reddy,Allu Arjun, Sruti Haasan
Okkadu,2003,U,"Action, Romance, Sport            ",    A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.,170,8,8118,Gunashekar,Mahesh Babu, Bhumika Chawla
Bommarillu,2006,U,"Comedy, Drama, Romance            ",    A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,170,8.2,8111,Bhaskar,Siddarth, Genelia
Atharintiki Daaredi,2013,U,"Comedy, Drama            ",    The scion of a powerful family is tasked with retrieving an estranged family member.,170,7.2,8081,Trivikram,Pawan Kalyan, Samantha
Khaleja,2010,UA,"Action, Comedy, Fantasy            ","    When a mysterious illness ravages a remote village, the villagers embrace a reluctant taxi driver as their savior.",170,7.5,7893,Trivikram,Mahesh Babu, Anushka Shetty
Goodachari,2018,UA,"Action, Thriller            ","    A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent.",147,7.8,7120,Sashi Kiran Tikka,Adivi Shesh, Sobhita Dhulipala
Vedam,2010,A,"Action, Drama            ",    A terrorist threat puts five people in jeopardy.,135,8.1,6492,Krish Jagarlamudi,Allu Arjun, Anushka Shetty 
Yevadu,2014,A,"Action, Thriller            ","    A young man receives a life-saving face transplant after he is critically injured and his girlfriend murdered in a vicious attack. Unrecognisable to his enemies, he sets out for revenge.",165,5.6,6373,Vamshi Paidipally,Ram Charan, Kajal Aggarwal
Aravindha Sametha Veera Raghava,2018,UA,"Action, Drama            ",    A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,162,7.7,6371,Trivikram,Jr. NTR, Pooja Hegde
Jersey,2019,U,"Drama, Sport            ",    A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,157,8.6,6039,Gowtam Naidu Tinnanuri,Nani, Shraddha Srinath
Sye Raa Narasimha Reddy,2019,UA,"Action, Adventure, Drama            ","    A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",167,7.5,5848,Surender Reddy,Chiranjeevi, Tamannah
Ala Vaikunthapurramuloo,2020,UA,"Action, Drama            ",    A jealous clerk secretly switches his newborn son with his millionaire friend's temporarily stillborn son.,163,7.2,5732,Trivikram,Allu Arjun, Pooja Hegde
Janatha Garage,2016,UA,"Action, Drama            ","    An environmental activist comes to Hyderabad to attend a seminar, where an unexpected encounter with a man who runs an organization for the oppressed, changes his purpose in life.",162,7.3,5562,Koratala Shiva,Jr. NTR, Samantha
Gabbar Singh,2012,UA,"Action, Comedy            ","    Venkatarathnam Naidu (Pawan Kalyan), son of Suhasini and step son of Nagineedu calls himself as Gabbar Singh after liking the character from Sholay. He turns as a cop and gets posted to his...                See full summaryÂ Â»",153,7.1,5550,Harish Shankar,Pawan Kalyan, Shruti Haasan
Temper,2015,UA,"Action, Drama            ","    Daya, a corrupt police officer, finds his life changing when he takes on a case of gang rape.",147,7.4,5524,Puri Jagannadh,Jr. NTR, Kajal Aggarwal
Game Over,2019,UA,"Drama, Thriller            ",    A nyctophobic woman has to fight her inner demons to stay alive in the game called life.,102,7.1,5418,Ashwin Saravanan,Taapsee Pannu,NA
Singam 2,2013,U,"Action, Thriller            ",    Tough cop Durai Singam performs an undercover operation and identifies some nefarious activities in the seas around the coastal town.,166,6.3,5378,Hari,Suriya, Anushka Shetty
Dhruva,2016,UA,"Action, Thriller            ","    A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",165,7.9,5346,Surender Reddy,Ram Charan, Rakul Preet Singh
Jalsa,2008,A,"Action, Comedy            ",    A carefree young man's past compels him to confront a criminal boss to acquire land rights.,161,7.3,5294,Trivikram,Pawan Kalyan, Ileana D'Cruz
Maharshi,2019,UA,"Action, Drama            ","    Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers.",176,7.3,5197,Vamshi Paidipally,Mahesh Babu, Pooja Hegde
Pelli Choopulu,2016,UA,"Comedy, Drama, Romance            ","    This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and ...                See full summaryÂ Â»",125,8.2,5167,Tarun Bhascker,Vijay Deverakonda, Ritu Varma
Arya 2,2009,UA,"Action, Comedy            ",    A psychotic willing to sacrifice anything for friendship transforms himself for the sake of his best friend who's not really fond of him.,155,7.4,5164,B. Sukumar,Allu Arjun, Kajal Aggarwal
Naa Peru Surya Na Illu India,2018,UA,"Action, Drama            ","    A short tempered soldier aspiring to serve at the borders is tasked with getting clearance signature from his estranged father, a professor, who in turn challenges him to give up anger.",163,6.8,5102,Vakkantham Vamsi,Allu Arjun, Anu Emmanuel
Seethamma Vakitlo Sirimalle Chettu,2013,U,"Comedy, Drama, Family            ","    An exuberant and evocative family drama, that primarily revolves around the close bond between two brothers with radically different personalities, highlighting the complex process of choosing an ideal life partner for each of them.",159,7.5,5075,Srikanth Addala,Mahesh Babu, Samantha 
Singam 3,2017,U,"Action, Thriller            ",    Uncompromising police chief Durai Singam battles against a criminal operation dealing in deadly toxic waste.,155,6.3,5068,Hari,Suriya, Anushka Shetty
Agent Sai Srinivasa Athreya,2019,UA,"Action, Comedy, Crime            ",    Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,148,8.5,4985,Swaroop RSJ,Naveen Polishetty, Shruti Sharma
Jai Lava Kusa,2017,UA,"Action, Drama            ","    Sidelined at a very young age due to stammering, the eldest of identical triplets develops hatred for his younger brothers and creates havoc in their lives as they all reunite as adults.",150,7,4872,K. S. Ravindra,Jr. NTR, Raashi Khanna
Arya,2004,U,"Action, Drama, Romance            ","    Arya (Allu Arjun) is a happy-go-lucky, college-going youth with an attitude. He falls in love with Geeta (Anuradha Mehta) at first sight. He proposes to her in front of her boyfriend Siva. ...                See full summaryÂ Â»",151,7.8,4818,B. Sukumar,Allu Arjun, Anu Mehta
Dear Comrade,2019,UA,"Action, Drama, Romance            ",    A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.,169,7.3,4575,Bharath Kamma,Vijay Deverakonda, Rashmika Mandanna
Happy Days,2007,U,Drama            ,"    The movie revolves around eight youngsters, who become good friends in their freshman years when they join the college for their Bachelors in Engineering (B.E.). The life of these young ...                See full summaryÂ Â»",153,7.9,4416,Sekhar Kammula,Varun Sandesh, Tamannaah
Sarileru Neekevvaru,2020,UA,"Action, Comedy, Drama            ",    A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,169,6.1,4367,Anil Ravipudi,Mahesh Babu, Rashmika Mandanna
Julayi,2012,UA,"Action, Comedy            ",    A happy-go-lucky man with wit and an instinct to kill teams up with a timid cop after being pursued by the criminal whose plans to rob a bank he foiled.,160,7.2,4329,Trivikram,Allu Arjun, Ileana D'Cruz
Kshanam,2016,NA,Thriller            ,"    Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",110,8.3,4231,Ravikanth Perepu,Adivi Sesh, Adah Sharma
Oopiri,2016,U,"Comedy, Drama            ","    Impressed by his carefree attitude, Vikram, a quadriplegic multi-billionaire, hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",158,8,3927,Vamshi Paidipally,Karthi, Tamannaah
Baadshah,2013,UA,"Action, Comedy            ","    Fast-paced and fiery, this action-oriented revenge thriller follows the transformation of a young man, from an IPS aspirant into fearless Baadshah, an avenging angel wreaking vengeance upon the mafia kingpin, Saadu Bhai.",164,6.4,3898,Sreenu Vaitla,Jr. NTR, Kajal Aggarwal
Three,2012,U,"Drama, Mystery, Romance            ","    Ram and Janani's three stages of love - their attraction for each other during their school days, their love at college days, and the relationship when they mature, are explored in this romantic tale.",145,7.2,3879,Aishwarya Rajinikanth,Dhanush, Shruti Haasan
Sarrainodu,2016,UA,"Action, Drama            ",    An intense battle breaks out between an evil son of a politician and an ex army man who can't tolerate injustice.,159,6.4,3876,Boyapati Sreenu,Allu Arjun, Rakul Preet Singh
Kick,2009,UA,"Action, Comedy            ",    An adrenaline junkie's quest for kicks leads him to a life of crime.,155,7.8,3874,Surender Reddy,Ravi Teja, Ileana D'Cruz
Leader,2010,UA,Drama            ,"    A well educated idealist, who is a son of Political leader in power wants to correct the rigged political system of favors and corruption. However, this soon becomes a game of power. How ...                See full summaryÂ Â»",167,8,3868,Sekhar Kammula,Rana Daggubati, Richa Gangopadhyay
Khushi,2001,U,"Drama, Romance            ","    While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.",169,7.9,3783,S. J. Surya,Pawan Kalyan, Bhoomika Chawla
Maya Bazaar,1957,U,"Comedy, Drama, Family            ","    Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",192,9.2,3733,K. V. Reddy,N. T. Rama Rao, Savitri
Mirchi,2013,A,"Action, Drama            ","    A man returns to his country in order, ostensibly, to reform his girlfriend's violent family, but he seems to have a strange connection and a rather dark past.",155,7.2,3708,Koratala Shiva,Prabhas, Anushka Shetty
Chatrapathi,2005,UA,"Action, Drama            ",    Displaced Sri Lankans in a Vizag port are ruled by a local rowdy. This is the story of Chatrapati Sivaji who overcomes this oppression and how he reunites with his long lost mother and brother.,158,7.6,3700,S. S. Rajamouli,Prabhas, Shriya Saran
C/o Kancharapalem,2018,UA,Drama            ,    Four unconventional love stories set in the town and including the people of Kancherapalem.,152,9,3699,Venkatesh Maha,Ensemble cast,NA
Murari,2001,NA,"Drama, Romance, Thriller            ",    A family is under a curse due to an old sin; due to which a male is bound to die every 48 years.,180,7.8,3630,Krishna Vamsi,Mahesh Babu, Sonali Bendre
Vikramarkudu,2006,A,Action            ,"    Vikram Rathod, a policeman, joins with a small time thief Satthi Babu who looks identical to him to avenge his own destruction.",140,7.7,3571,S. S. Rajamouli,Ravi Teja, Anushka Shetty
Brindaavanam,2010,UA,"Action, Comedy, Drama            ",    Krish (NTR) is the son of a billionaire businessman (mukesh Rishi). He has a girl friend Indu (samantha). Her friend Bhoomi (kajal) wants to pursue her higher studies and lands in trouble ...                See full summaryÂ Â»,169,7.1,3511,Vamshi Paidipally,Jr. NTR, Kajal Aggarwal
Panjaa,2011,A,"Action, Thriller            ",    A hitman invites the wrath of his boss after beating the latter's son to death for killing an innocent woman.,156,6.5,3479,Vishnuvardhan,Pawan Kalyan, Sarah-Jane Dias
Nuvvu Naaku Nachchav,2001,U,"Musical, Comedy, Family            ","    Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him .",184,8.7,3475,K. Vijaya Bhaskar,Venkatesh, Aarthi Agarwal
Gopala Gopala,2015,U,"Comedy, Drama, Fantasy            ",    An atheist sues god after losing his shop in an earthquake.,153,7.3,3433,Kishore Kumar Pardasani,Venkatesh, Shriya Saran
Aagadu,2014,UA,"Action, Comedy            ",    An encounter specialist is transferred as CI to a village which is ruled by a local gangster,165,5.4,3410,Sreenu Vaitla,Mahesh Babu, Tamannaah
Masss,2015,U,"Action, Comedy, Horror            ","    After a life-threatening accident, a man finds that he can communicate with the dead, and must decide whether to act on their advice.",151,6,3384,Venkat Prabhu,Suriya, Nayanthara
Maanagaram,2017,UA,"Action, Thriller            ",    Four youngsters arrive in a big city and their lives become interlinked.,137,8.1,3371,Lokesh Kanagaraj,Sundeep Kishan, Sri
Drushyam,2014,U,"Crime, Drama, Family            ","    Rambabu (Venkatesh Daggubati), a cable operator, tries to protect his family from paying the price for their accidental crime.",150,8.3,3344,Sripriya,Venkatesh, Meena
Yamadonga,2007,UA,"Action, Comedy, Fantasy            ","    A lovable scoundrel's life is cut short when he angers the god of death; however, he still has a few tricks up his sleeve.",185,7.3,3341,S. S. Rajamouli,Jr. NTR, Priyamani
S/O Satyamurthy,2015,UA,"Action, Drama            ",    A rich businessman's son faces multiple challenges after he becomes the sole breadwinner of his family.,162,6.9,3265,Trivikram,Allu Arjun, Samantha 
Tholi Prema,1998,U,"Drama, Romance            ","    Balu (Pawan Kalyan) falls in love with a girl at first sight but can't find a way to get to know her. He can't believe his luck when she approaches him, because her hobby is collecting the ...                See full summaryÂ Â»",146,8.2,3211,A. Karunakaran,Pavan Kalyan,Kirti Reddy
Yatra,2018,U,"Biography, Drama, Romance            ",    An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,127,8.2,3193,Mahi V Raghav,Mammootty,NA
Fidaa,2017,U,"Drama, Romance            ","    Varun and Bhanu, both from different worlds, face challenges in their relationship.",144,7.5,3154,Sekhar Kammula,Varun Tej, Sai Pallavi
Oosaravelli,2011,UA,"Action, Thriller            ","    A youngster, who does anything for money, avenges on those who killed the family of Niharika.",145,6.6,3122,Surender Reddy,Jr. NTR, Tamannaah
Evaru,2019,UA,"Crime, Drama, Thriller            ",    Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.,118,8.2,3115,Venkat Ramji,Adivi Sesh, Regina Cassandra
Khaidi No 150,2017,UA,"Action, Drama            ",    A man (Chiranjeevi) on the wrong side of the law is moved by the plight of farmers to do the right thing.,142,6,3107,V. V. Vinayak,Chiranjeevi, Kajal Aggarwal
NGK,2019,U,"Action, Drama            ","    An educated do-gooder is forced to enter politics in order to serve the society. But, will the old guard make way and allow him to do that?",148,6,3099,Selvaraghavan,Suriya, Rakul Preet Singh
Duvvada Jagannadham,2017,UA,"Action, Comedy            ","    Trained by a high profile cop, an encounter specialist masquerading as a Brahmin priest takes on a real estate crime organization after losing his uncle.",152,5.6,3087,Harish Shankar,Allu Arjun, Pooja Hegde
Bale Bale Magadivoy,2015,U,"Comedy, Romance            ",    An easily distracted scientist (Nani) goes to great lengths to make sure that his girlfriend (Lavanya Tripati) and her family members don't find out about his mental condition.,137,7.8,3073,Maruthi Dasari,Nani, Lavanya Tripathi
Shiva,1989,A,"Action, Crime, Drama            ","    Shiva is disgusted by the corruption in and around his new college, and along with his friends, he decides to take a stand against the status quo.",161,8.1,3072,Ram Gopal Verma,Nagarjuna, Amala Akkineni
Manmadhudu,2002,U,"Comedy, Romance            ",    A misogynist is forced by circumstances to work with a woman.,142,8.3,3046,K. Vijaya Bhaskar,Nagarjuna, Sonali Bendre
Mr Perfect,2011,U,"Drama, Romance            ","    Vicky (Prabhas), an expert in gaming software, lives in Australia and never compromises in his life, a principle he adheres to since his childhood. He believes that one should be oneself in...                See full summaryÂ Â»",144,7.1,2917,Dasaradh,Prabhas, Kajal Aggarwal
Orange,2010,U,"Comedy, Drama, Romance            ","    A man, who doesn't believe that love can last a lifetime, pursues an exuberant romantic, but their clashing ideologies keep them apart.",162,6.6,2837,Bhaskar,Ram Charan, Genelia
Gamyam,2008,NA,Drama            ,"    Two guys, one a thief and the other filthy rich, meet each other in a journey started by the latter in search of his love.",120,8.3,2762,Krish Jagarlamudi,Allari Naresh, Kamalinee Mukherjee
Kanche,2015,UA,"Action, Drama, History            ","    A rivalry between two men, based on caste and social status, extends from an Indian village to war torn Europe during WW2.",126,7.9,2755,Krish Jagarlamudi,Varun Tej, Pragya Jaiswal
Naayak,2013,A,Action            ,    A young man and his lookalike team up to fight injustice and settle their personal scores with the evildoers.,153,5.5,2749,V. V. Vinayak,Ram Charan, Kajal Aggarwal
Malliswari,2004,U,"Comedy, Romance            ","    When her father dies, a wealthy heiress is sent to another city to protect her from people who try to harm and manipulate her. Living under an assumed identity, she meets a handsome banker and falls in love with him.",150,7.8,2747,K. Vijaya Bhaskar,Venkatesh, Katrina Kaif
Nuvvostanante Nenoddantana,2005,NA,Romance            ,"    Before he can marry his sweetheart, a wealthy city boy from England is challenged to prove his work ethic on a farm in rural India.",165,7.7,2744,Prabhu Deva,Siddharth, Trisha Krishnan
Ye Maaya Chesave,2010,UA,Romance            ,"    Karthik finishes engineering school and aspires to become a filmmaker. His friend Krishna takes him to director Puri Jagannath and pleads with him to take him as his assistant. Meanwhile, ...                See full summaryÂ Â»",155,7.7,2697,Goutham Vasudev Menon,Naga Chaitanya, Samantha
Sagara Sangamam,1983,U,"Musical, Romance, Drama            ","    A classical dancer, Balakrishna, (Kamal Haasan) faces many struggles, but is eventually redeemed.",160,8.8,2639,K. Vishwanath,Kamal Haasan, Jaya Prada
Rudhramadevi,2015,UA,"Action, Biography, History            ",    Queen Rudrama Devi's reign in southern India during the 13th century is herein recounted.,157,5.8,2607,Gunashekar,Anushka Shetty, Allu Arjun
Cameraman Gangatho Rambabu,2012,NA,"Action, Drama            ",    A fast-paced socially relevant political drama that revolves around the struggles of an ordinary citizen against crime and political corruption.,148,5.7,2582,Puri Jagannadh,Pawan Kalyan, Tamannaah
Majili,2019,UA,"Drama, Romance            ",    A former cricket player nursing his wounds of a failed relationship takes up the task of training his ex-lover's daughter and in the process discovers his feelings towards his wife and her unrequited love for him.,154,7.2,2579,Shiva Nirvana,Naga Chaitanya, Samantha Akkineni
Arundhati,2009,A,"Horror, Mystery, Thriller            ","    A brave queen battles an evil mystic. Three generations later, he comes back to haunt the queen's descendants.",131,7.3,2564,Kodi Ramakrishna,, Anushka Shetty
Agnyaathavaasi,2018,UA,"Action, Drama            ","    An exiled heir to billionaire, returns after his father was murdered, as a regular employee to find out the killers and make things right in his company.",158,4.5,2526,Trivikram,Pawan Kalyan, Keerthy Suresh
Pilla Zamindar,2011,U,"Comedy, Drama            ",    PJ has to go through a rough journey of living like a common man and graduating from a village-based college to inherit his grandfather's wealth.,148,7.7,2494,G. Ashok,Nani, Haripriya
100% Love,2011,U,"Comedy, Drama, Romance            ","    When his cousin Mahalakshmi comes to stay, Balu is challenged to an extent rare in his charmed life. Will Balu let himself be seduced by Mahalakshmi's bubbly spirit and sharp brain, or will his ego prove an insurmountable barrier?",141,7,2493,B. Sukumar,Naga Chaitanya, Tamannaah Bhatia
Aa Naluguru,2004,NA,Drama            ,    A man fights for his philosophy: that human relations are more important than money.,141,8.5,2464,Chandra Siddhartha,Rajendra Prasad, Aamani
Darling,2010,NA,"Comedy, Drama, Romance            ","    To save himself from an unwanted marriage to a gangster's daughter, a man tells the story of reuniting with his childhood sweetheart in Switzerland.",151,7.3,2456,A. Karunakaran,Prabhas, Kajal Aggarwal
Aha Naa Pellanta,1987,U,Comedy            ,    Krishnamurthy (Rajendra Prasad) is the only son of industrialist Satyanarayana (Nutan Prasad). He wants his son to get married to a girl whom he has chosen because of his bitter experience ...                See full summaryÂ Â»,147,8.9,2438,Jandhyala,Rajendra Prasad, Rajani
Vinaya Vidheya Rama,2019,UA,Action            ,"    When the happiness of his family is held to ransom by a violent crime lord, Ram sets out on a quest to destroy his nemesis and his criminal empire.",146,3.3,2435,Boyapati Sreenu,Ram Charan, Kiara Advani
Happy,2006,U,"Action, Comedy, Drama            ",    An orphan working as a Pizza delivery boy and the daughter of a caste-based politician are forced to get married in an unforeseen situation.,152,7,2424,A. Karunakaran,Allu Arjun, Genelia
Ala Modalaindi,2011,NA,"Comedy, Drama, Romance            ","    On the day of his girlfriend's marriage, Gautam gets kidnapped by an unknown criminal. Bored on the way to the kidnapper's den, Gautam is forced to narrate his cute love story which is filled with loads of twists and turns.",136,7.7,2394,B. V. Nandini Reddy,Nani, Nithya Menen
Dhee,2007,NA,Comedy            ,    A guy who is irresponsible was joined to a job of accountent in local rowdy by his farher.he loves the sister of the rowdy after knowing she is having a threat from another local rowdy hero makes a plan to marry her and kil that rowdy ..,142,7.4,2383,Sreenu Vaitla,Vishnu Manchu, Genelia
Iddarammayilatho,2013,UA,"Action, Thriller            ","    A young woman becomes embroiled in a financial and political conspiracy while studying in Spain, as she meets a young musician with a somewhat dark past unfolded through the pages of his lover's diary.",137,5.7,2376,Puri Jagannadh,Allu Arjun, Amala Paul
Simhadri,2003,Not Rated,"Action, Drama            ","    Simhadri, A loyal servant in a landlords house also leads a secret life as Singamalai. A powerful leader in the state of Kerala",170,7.4,2371,S. S. Rajamouli,NTR Jr., Bhoomika Chawla
Taxiwaala,2018,Not Rated,"Comedy, Horror, Thriller            ","    A job monger, Shiva ends up as a taxiwala only to realise that his ride is a beyond what anyone could have expected.",137,7,2368,Rahul Sankrityan,Vijay Deverakonda, Priyanka Jawalkar
Parugu,2008,U,"Action, Romance            ",    A group of friends are tasked with finding the daughter of a village head who believes them to have helped her elope.,159,7,2355,Bhaskar,Allu Arjun, Sheela Kaur
Maryada Ramanna,2010,U,"Action, Comedy, Drama            ","    A man returns to his parents' village to claim his land. Along the way, he befriends a charming young woman. Unbeknownst to him, her family has a long-standing feud with his family.",125,7.4,2337,S. S. Rajamouli,Sunil, Saloni Aswani
Rachcha,2012,UA,Action            ,    A betting teenager involves in a larger bet than he imagined.,143,4.3,2336,Sampath Nandi,Ram Charan, Tamannaah Bhatia
HIT,2020,UA,"Crime, Drama, Mystery            ","    Vikram is a 30-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",125,7.8,2327,Sailesh Kolanu,Vishwak Sen, Ruhani Sharma
Nota,2018,A,Drama            ,    A bachelor who is unaware of the political world is appointed a Chief Minister when his corrupt father retires.,145,6.4,2309,Anand Shankar,Vijay Deverakonda, Mehreen Pirzada
U Turn,2018,UA,"Mystery, Thriller            ",    The plot revolves around the death of motorists who break a traffic rule at a particular flyover in Hyderabad and the subsequent pinning down of the culprit by an intern journalist and police inspector duo.,128,7,2307,Pawan Kumar,Aadhi Pinisetty, Samantha
Thammudu,1999,U,"Action, Drama, Sport            ","    An aimless student is banished from his home by his father. When his brother, a boxing champion, gets injured, the student must step up and take his brother's place.",160,7.8,2279,P. A. Arun Prasad,Pawan Kalyan, Preeti Jhangiani
Zanjeer,2013,UA,"Action, Drama            ",    ACP Vijay Khanna is transferred to Mumbai where he will have do deal with the oil mafia led by Rudra Pratap Teja.,137,3.2,2249,Apoorva Lakhia ,Ram Charan, Priyanka Chopra
Bhaagamathie,2018,UA,"Action, Horror, Thriller            ","    IAS officer Chanchala Reddy is imprisoned in a haunted house, while she is interrogated by law enforcers investigating a politician they suspect of corruption.",138,7,2217,G. Ashok,Unni Mukundan, Anushka Shetty
Adhurs,2010,UA,"Action, Comedy, Thriller            ",    Male twins are separated at birth and live their lives in different backgrounds - until one gets abducted.,150,6.7,2196,V. V. Vinayak,NTR Jr., Nayanthara
Aditya 369,1991,U,"Family, Sci-Fi, Adventure            ","    A group of children use a time machine to investigate a robbery. The protagonist couple, in their attempt to rescue the kids, get stuck in the machine and travel all the way back to the ...                See full summaryÂ Â»",140,8.4,2179,Singeetam Srinivasa Rao,Nandamuri Balakrishna, Mohini
Sardaar Gabbar Singh,2016,UA,"Action, Comedy            ",    A kingdom called Rathanpur was taken ruthlessly by a feudal lord named Bhairav Singh. The princess of that empire was in a hopeless situation until a maverick cop named Sardaar Gabbar Singh came along.,164,4.8,2178,K. S. Ravindra,Pawan Kalyan, Kajal Aggarwal
